strategy,factor_model,model,objective,lookback_days,rolling_retrain,training_window_days,transaction_cost,short_holding_cost,annual_return,annual_volatility,sharpe,mean_t_statistic,mean_p_value,mean_daily_turnover,mean_short_proportion
Korean FF1 / cnn_transformer / meanvar,Korean FF1,cnn_transformer,meanvar,30,True,1000,0.0,0.0,0.09004737353205802,0.092943307595892,0.9688419302180937,1.5011716123858858,0.13383288001239804,1.3559632098714116,0.5032784950369262
Korean FF1 / fourier_ffn / meanvar,Korean FF1,fourier_ffn,meanvar,30,True,1000,0.0,0.0,0.09868312240168917,0.08800145999066791,1.1213805135977744,1.7375224391008148,0.08280387216412094,1.1187507213145593,0.488818426484322
Korean FF3 / cnn_transformer / meanvar,Korean FF3,cnn_transformer,meanvar,30,True,1000,0.0,0.0,0.16156756800154223,0.052219387060250866,3.094015021952003,4.794019926660581,2.059984923240078e-06,1.3188615158052728,0.4876937461961614
Korean FF3 / fourier_ffn / meanvar,Korean FF3,fourier_ffn,meanvar,30,True,1000,0.0,0.0,0.08602484087701784,0.05080434362898684,1.6932575983116462,2.6236170832015415,0.008919601642719644,1.1083485075447819,0.5076837749174326
Korean FF5 / cnn_transformer / meanvar,Korean FF5,cnn_transformer,meanvar,30,True,1000,0.0,0.0,0.10837698049957274,0.04536350744675007,2.3890785038346296,3.7017564143931727,0.00023366331846050856,1.290804650130445,0.5184907729771271
Korean FF5 / fourier_ffn / meanvar,Korean FF5,fourier_ffn,meanvar,30,True,1000,0.0,0.0,0.04692975086468827,0.04676631341054201,1.0034947688245492,1.5548644346947746,0.12050128923575495,1.0930199698843184,0.5049395021481482
Stock returns K0 / cnn_transformer / meanvar,Stock returns K0,cnn_transformer,meanvar,30,True,1000,0.0,0.0,-0.019414236458735606,0.14965941580797318,-0.12972278659463607,-0.20099890254710942,0.8407669865790794,1.110963242282175,0.42027516399968184
Stock returns K0 / fourier_ffn / meanvar,Stock returns K0,fourier_ffn,meanvar,30,True,1000,0.0,0.0,-0.15410765371859356,0.17853459659476095,-0.8631808997131697,-1.3374551849871197,0.18157668100797072,0.8368784404381273,0.518766865874706
PCA10 / cnn_transformer / meanvar,PCA10,cnn_transformer,meanvar,30,True,1000,0.0,0.0,0.12967735143103784,0.039111064301035656,3.315618067381613,5.1373826472875725,3.763477951409659e-07,1.151599783413481,0.500161082241008
PCA10 / fourier_ffn / meanvar,PCA10,fourier_ffn,meanvar,30,True,1000,0.0,0.0,-0.011459166209713444,0.15003295403751535,-0.07637766171589283,-0.11834332723657062,0.9058349088819144,0.8823696656687425,0.4628456248210208
PCA15 / cnn_transformer / meanvar,PCA15,cnn_transformer,meanvar,30,True,1000,0.0,0.0,0.09102582336561084,0.033857349767549956,2.688509998288558,4.165710383878508,3.5558929679450564e-05,1.1567067719332063,0.49939187726762035
PCA15 / fourier_ffn / meanvar,PCA15,fourier_ffn,meanvar,30,True,1000,0.0,0.0,-0.09900803506687827,0.1052681271160095,-0.9405319328781031,-1.4573067020966017,0.1455505714601942,1.0838309165963245,0.47047557600654
PCA1 / cnn_transformer / meanvar,PCA1,cnn_transformer,meanvar,30,True,1000,0.0,0.0,0.14830366546768678,0.07104721675591077,2.0873958508071837,3.234314388455963,0.0012857818100007387,1.3656694432689804,0.5030642604768867
PCA1 / fourier_ffn / meanvar,PCA1,fourier_ffn,meanvar,30,True,1000,0.0,0.0,0.07106459785326473,0.21193740285993884,0.33530937387313625,0.5195449306285994,0.6035708091986192,1.2884005654861432,0.5132924007012112
PCA3 / cnn_transformer / meanvar,PCA3,cnn_transformer,meanvar,30,True,1000,0.0,0.0,0.2045214384431709,0.06144226810248286,3.328676573300299,5.157616142323125,3.394130626125088e-07,1.3335141926118643,0.49900817300620254
PCA3 / fourier_ffn / meanvar,PCA3,fourier_ffn,meanvar,30,True,1000,0.0,0.0,-0.005082997548195099,0.19801184569441932,-0.025670169026349096,-0.03977462971573505,0.9682859242847377,1.2692918574357583,0.47827080108545006
PCA5 / cnn_transformer / meanvar,PCA5,cnn_transformer,meanvar,30,True,1000,0.0,0.0,0.15556517348504656,0.04964672463009877,3.133442833220337,4.855111327815367,1.5335593121550056e-06,1.2857208097531851,0.5004728284015907
PCA5 / fourier_ffn / meanvar,PCA5,fourier_ffn,meanvar,30,True,1000,0.0,0.0,-0.15971515301325648,0.19662322789005376,-0.8122903622687181,-1.2586028688683548,0.20865926525118184,1.1670116306138116,0.46254366791189305
PCA8 / cnn_transformer / meanvar,PCA8,cnn_transformer,meanvar,30,True,1000,0.0,0.0,0.1688005622063674,0.04421215953228749,3.8179669120911144,5.91574679697192,5.530127136035812e-09,1.1840633643735754,0.5002719674861864
PCA8 / fourier_ffn / meanvar,PCA8,fourier_ffn,meanvar,30,True,1000,0.0,0.0,0.03269278384413137,0.18693081510145257,0.17489242651827142,0.2709869770514711,0.7864934772767154,1.0423082273096929,0.4579427473910964
