strategy,factor_model,observations,annual_alpha,alpha_t_statistic,alpha_p_value,r_squared,adjusted_r_squared
Korean FF1 / cnn_transformer / sharpe,CAPM,606,0.12506673077699004,2.8054996689069203,0.005185672079890305,0.01125918920659219,0.00962220110925216
Korean FF1 / cnn_transformer / sharpe,Korean FF3,606,0.15450472750727504,3.49376302729083,0.0005112271130246244,0.049968561305692605,0.045234185365355506
Korean FF1 / cnn_transformer / sharpe,Korean FF5,606,0.15084612111690798,3.409894889208676,0.0006935036672410795,0.05482335450958242,0.04694688246382894
Korean FF1 / cnn_transformer / sharpe,Korean 6-factor,606,0.15011517411614952,3.396739089382347,0.0007271235075419598,0.05838238012657204,0.04895048410112868
Korean FF3 / cnn_transformer / sharpe,CAPM,606,0.11085516278656722,4.328535160133294,1.756829829239364e-05,0.012849062961120317,0.011214707105095756
Korean FF3 / cnn_transformer / sharpe,Korean FF3,606,0.11764563019484929,4.555568958390474,6.327093016801088e-06,0.01996411715245583,0.015080217404046192
Korean FF3 / cnn_transformer / sharpe,Korean FF5,606,0.11804444896249659,4.558164251540357,6.255923436565446e-06,0.02012162514899285,0.011955972025234463
Korean FF3 / cnn_transformer / sharpe,Korean 6-factor,606,0.11786840852121977,4.548747199537902,6.534687678249025e-06,0.020746105155900585,0.010937218062303633
Korean FF5 / cnn_transformer / sharpe,CAPM,606,0.093984222707992,4.08996918084532,4.899059293716948e-05,0.015034710575499433,0.013403973341352904
Korean FF5 / cnn_transformer / sharpe,Korean FF3,606,0.10382437654141177,4.498993378388372,8.195878797820291e-06,0.0300685133487133,0.025234967734171998
Korean FF5 / cnn_transformer / sharpe,Korean FF5,606,0.10366582449885,4.480569107902423,8.916455290662475e-06,0.03068863658004206,0.022611041884875727
Korean FF5 / cnn_transformer / sharpe,Korean 6-factor,606,0.10381113414472702,4.484058006982139,8.779086202631074e-06,0.03121596357745149,0.021511949857025314
Stock returns K0 / cnn_transformer / sharpe,CAPM,606,-0.05147386907212806,-0.7454131292566812,0.4563119775460863,0.09861329681201192,0.0971209347206411
Stock returns K0 / cnn_transformer / sharpe,Korean FF3,606,-0.024336940207294096,-0.3581314670948374,0.7203704717778711,0.14768408966128188,0.1434366681811886
Stock returns K0 / cnn_transformer / sharpe,Korean FF5,606,-0.014531668563929359,-0.21487360082906148,0.829938879734301,0.1607259337336402,0.15373198318142056
Stock returns K0 / cnn_transformer / sharpe,Korean 6-factor,606,-0.015236714530969905,-0.2252662889592686,0.8218489536691109,0.16198400861072926,0.15358985844656292
PCA10 / cnn_transformer / sharpe,CAPM,606,0.10003150510991235,4.389600555567036,1.3405056963816921e-05,0.0026148350295331912,0.0009635350875291104
PCA10 / cnn_transformer / sharpe,Korean FF3,606,0.11088467632043879,4.852585124029344,1.5543142062319839e-06,0.02083009709615513,0.01595051286241511
