strategy,factor_model,observations,annual_alpha,alpha_t_statistic,alpha_p_value,r_squared,adjusted_r_squared
Korean FF1 / cnn_transformer / sharpe,CAPM,606,0.11570152809155364,2.655490547226024,0.008128289315294567,0.009297761193233778,0.007657525698520629
Korean FF1 / cnn_transformer / sharpe,Korean FF3,606,0.1064888741367565,2.4218295902483766,0.015736968533074772,0.014860356619847637,0.009951022848850188
Korean FF1 / cnn_transformer / sharpe,Korean FF5,606,0.09831086466717777,2.259668042753708,0.024199699610046324,0.04109500282692946,0.03310412785048722
Korean FF1 / cnn_transformer / sharpe,Korean 6-factor,606,0.09784653649426493,2.248751848348695,0.02489090829791723,0.04260141762443015,0.033011448518831865
Korean FF1 / fourier_ffn / sharpe,CAPM,606,0.10551458100454476,2.0212151188103973,0.04369809235629748,0.014170152291455462,0.012537983669421493
Korean FF1 / fourier_ffn / sharpe,Korean FF3,606,0.11684236067620794,2.216775661508845,0.02701134678360467,0.01874642625043821,0.013856458274942085
Korean FF1 / fourier_ffn / sharpe,Korean FF5,606,0.1076342603397964,2.065481674203269,0.03930630650613564,0.046396548684994765,0.038449853257369715
Korean FF1 / fourier_ffn / sharpe,Korean 6-factor,606,0.10777072143858717,2.066349079612298,0.03922481039033855,0.046486738986379006,0.03693568795786195
Korean FF1 / ou_threshold / sharpe,CAPM,606,0.01524423197000076,0.2438271419293544,0.8074474930910954,0.008418287452456319,0.006776595875390923
Korean FF1 / ou_threshold / sharpe,Korean FF3,606,0.01044887152835991,0.16569517341045278,0.868452473747462,0.015030952093585848,0.010122468466145285
Korean FF1 / ou_threshold / sharpe,Korean FF5,606,0.008102514373807464,0.12851949072747007,0.8977809407238886,0.02120780266533695,0.01305120102088142
Korean FF1 / ou_threshold / sharpe,Korean 6-factor,606,0.008828216213766086,0.14003315849701417,0.8886808643572954,0.02299650462993641,0.01321015910035317
Korean FF3 / cnn_transformer / sharpe,CAPM,606,0.11234673725338194,4.3538494247733,1.5711135528956814e-05,1.1729587575781686e-05,-0.0016438801316500662
Korean FF3 / cnn_transformer / sharpe,Korean FF3,606,0.10858905268373455,4.1688146830587804,3.511493798062788e-05,0.005076451964473705,0.00011836119353259011
Korean FF3 / cnn_transformer / sharpe,Korean FF5,606,0.10851803702262133,4.160139569457559,3.6452928856985965e-05,0.007989641597649033,-0.0002771113890371879
Korean FF3 / cnn_transformer / sharpe,Korean 6-factor,606,0.10858844149509414,4.159325775209772,3.6587538378719034e-05,0.008089310875967315,-0.0018463554591647835
Korean FF3 / fourier_ffn / sharpe,CAPM,606,0.07578858192614761,2.5490190090300517,0.01104877627144494,0.007838241079010988,0.006195589160267634
Korean FF3 / fourier_ffn / sharpe,Korean FF3,606,0.07965652536500076,2.6533957543063558,0.008179016869779501,0.012398501282010144,0.007476899128930459
Korean FF3 / fourier_ffn / sharpe,Korean FF5,606,0.0784720523716202,2.6106466040949687,0.009262923277242995,0.015621130105724856,0.007417972856605948
Korean FF3 / fourier_ffn / sharpe,Korean 6-factor,606,0.07828938109159947,2.602903816588117,0.009472686488737904,0.01612255009420871,0.006267350262097349
Korean FF3 / ou_threshold / sharpe,CAPM,606,0.042187723581730126,1.0472738499954486,0.2953921913150996,0.0017272086777518902,7.443915569527171e-05
Korean FF3 / ou_threshold / sharpe,Korean FF3,606,0.0360705913585008,0.8868190982787125,0.37553043867926117,0.0062983000844051285,0.001346298257583256
Korean FF3 / ou_threshold / sharpe,Korean FF5,606,0.037105510529770416,0.9128168386555726,0.3617055094768703,0.013233334889212633,0.005010279346622792
Korean FF3 / ou_threshold / sharpe,Korean 6-factor,606,0.03708162245200401,0.9114157741876234,0.3624429794470912,0.013238034912465446,0.0033539417730243937
Korean FF5 / cnn_transformer / sharpe,CAPM,606,0.07060641070407975,3.3755884114010466,0.0007838358090430842,0.004491740154461854,0.002843547671273927
Korean FF5 / cnn_transformer / sharpe,Korean FF3,606,0.07525312025979468,3.5647669963006554,0.0003930643406188712,0.009933619452964781,0.004999733835620801
Korean FF5 / cnn_transformer / sharpe,Korean FF5,606,0.07590728750012744,3.58684163158962,0.0003619871440303735,0.010751324578544663,0.0025075856166992816
Korean FF5 / cnn_transformer / sharpe,Korean 6-factor,606,0.07600751264634566,3.588921679569499,0.00035921861148582635,0.011057344006256242,0.001151407552228756
Korean FF5 / fourier_ffn / sharpe,CAPM,606,0.05770263531487654,2.1802809804103047,0.029621915675806135,0.0010875118806950024,-0.000566316742019124
Korean FF5 / fourier_ffn / sharpe,Korean FF3,606,0.05856370433694186,2.19040167051288,0.028877918524003076,0.004611436242471401,-0.000348971882565996
Korean FF5 / fourier_ffn / sharpe,Korean FF5,606,0.05860721254626665,2.185695670722678,0.02922371128589566,0.004614774640395836,-0.0036801022376007353
Korean FF5 / fourier_ffn / sharpe,Korean 6-factor,606,0.058511978736201446,2.1803827638565,0.029617559734754866,0.0047879489348021664,-0.0051807861342982875
Korean FF5 / ou_threshold / sharpe,CAPM,606,0.02060491632147875,0.6306446585179865,0.5285114293438117,0.0024547563416927876,0.0008031913687486236
Korean FF5 / ou_threshold / sharpe,Korean FF3,606,0.01806399184513292,0.5464661521078205,0.5849480219214773,0.0030272887023096162,-0.0019410138456854575
Korean FF5 / ou_threshold / sharpe,Korean FF5,606,0.018916483630627763,0.5711153235268236,0.5681353199955599,0.0048217160913326396,-0.0034714362745729144
Korean FF5 / ou_threshold / sharpe,Korean 6-factor,606,0.019007257150666236,0.5733725493057386,0.5666076648492057,0.00492480660833694,-0.005042557599258979
Stock returns K0 / cnn_transformer / sharpe,CAPM,606,-0.022958355141596488,-0.3506363810870806,0.7259834129205232,0.012274097690849195,0.010638789905569213
Stock returns K0 / cnn_transformer / sharpe,Korean FF3,606,-0.05541416169045182,-0.8476036714893442,0.39699558478871466,0.03850563358688641,0.033714133422036996
Stock returns K0 / cnn_transformer / sharpe,Korean FF5,606,-0.05139950455495109,-0.7878817937922322,0.4310769955737151,0.04814246332331773,0.04021031718434542
Stock returns K0 / cnn_transformer / sharpe,Korean 6-factor,606,-0.052560689304730616,-0.8067252542263399,0.42014497559161484,0.0523016798456003,0.04280887530315225
Stock returns K0 / fourier_ffn / sharpe,CAPM,606,-0.2606215411538788,-2.5904604018871398,0.009816121412521816,0.1646076263456665,0.1632245263892852
Stock returns K0 / fourier_ffn / sharpe,Korean FF3,606,-0.20820089966894983,-2.1105033294424937,0.03522686924845468,0.2157781498937238,0.2118700675842241
