strategy,factor_model,observations,annual_alpha,alpha_t_statistic,alpha_p_value,r_squared,adjusted_r_squared
Korean FF1 / cnn_transformer / sharpe,CAPM,606,0.0974170699800272,2.1514298521767357,0.03183812589249747,0.002688180750497371,0.0010370022418061398
Korean FF1 / cnn_transformer / sharpe,Korean FF3,606,0.07662055086639047,1.6946649222341472,0.09065617625116686,0.029132209102803786,0.024293997520259625
Korean FF1 / cnn_transformer / sharpe,Korean FF5,606,0.06800379481986978,1.5184793191749462,0.1294203307175935,0.05295390566390812,0.04506185487777403
Korean FF1 / cnn_transformer / sharpe,Korean 6-factor,606,0.06812962052674758,1.520011568152456,0.12903571612440418,0.05305701405419072,0.043571775463748574
Korean FF3 / cnn_transformer / sharpe,CAPM,606,0.10435566223086075,4.000940308095218,7.092412842236541e-05,0.0010682058468735045,-0.0005856547394726963
Korean FF3 / cnn_transformer / sharpe,Korean FF3,606,0.10590434155677901,4.0351832623460995,6.159129063667696e-05,0.012468498446295162,0.007547245116293344
Korean FF3 / cnn_transformer / sharpe,Korean FF5,606,0.10583852039894778,4.02595507164671,6.401650020887228e-05,0.014889431838604028,0.006680177103925766
Korean FF3 / cnn_transformer / sharpe,Korean 6-factor,606,0.10611358879706653,4.035857696731207,6.145595938964322e-05,0.016376905787526597,0.0065242537586871485
Korean FF5 / cnn_transformer / sharpe,CAPM,606,0.08430585185931838,3.6628772865245103,0.0002712934472289804,0.0044249370328639515,0.0027766339484813773
Korean FF5 / cnn_transformer / sharpe,Korean FF3,606,0.08941088249804573,3.855915500063337,0.00012771033902617956,0.013377384672238368,0.008460660675588372
Korean FF5 / cnn_transformer / sharpe,Korean FF5,606,0.08890182572783009,3.824771622466864,0.00014459066483510572,0.014353889964838995,0.006140172381212672
Korean FF5 / cnn_transformer / sharpe,Korean 6-factor,606,0.0887911255812848,3.817190898312369,0.00014901932037513662,0.014662236964093633,0.0047924096214969625
Stock returns K0 / cnn_transformer / sharpe,CAPM,606,-0.00417079815232907,-0.0731591183738682,0.9417037181559743,0.041300518538428976,0.039713267741307234
Stock returns K0 / cnn_transformer / sharpe,Korean FF3,606,-0.024197502622365787,-0.4312081663126634,0.6664713825830136,0.09307740041884105,0.08855785258039672
Stock returns K0 / cnn_transformer / sharpe,Korean FF5,606,-0.021057747446006875,-0.3772106927823507,0.706150414114702,0.10763141655367592,0.10019501169162326
Stock returns K0 / cnn_transformer / sharpe,Korean 6-factor,606,-0.022673150453510593,-0.40814820725812084,0.6833107209932131,0.117937244238001,0.10910189109180402
PCA10 / cnn_transformer / sharpe,CAPM,606,0.11493816729816696,5.1026896246544275,4.491220397688979e-07,7.068452649472423e-05,-0.0015848275852163862
PCA10 / cnn_transformer / sharpe,Korean FF3,606,0.12157303782574189,5.35256994781656,1.234659724797993e-07,0.007316236357895689,0.0023693073032008405
PCA10 / cnn_transformer / sharpe,Korean FF5,606,0.12238001253654883,5.375009595262467,1.097835981234056e-07,0.008234645934568019,-3.0065349310604006e-05
PCA10 / cnn_transformer / sharpe,Korean 6-factor,606,0.12226206966378805,5.366021656103578,1.1519699148412066e-07,0.008601693630925555,-0.0013288403226878742
PCA15 / cnn_transformer / sharpe,CAPM,606,0.08884433302341882,4.899024091169421,1.2385009191729441e-06,0.0016779591631892465,2.5108102201243376e-05
PCA15 / cnn_transformer / sharpe,Korean FF3,606,0.09726588901880644,5.350235064957362,1.2499621522854238e-07,0.020447415853113937,0.015565924569989953
PCA15 / cnn_transformer / sharpe,Korean FF5,606,0.09876188930962293,5.430094423522962,8.190792068693806e-08,0.0252309626053816,0.017107887293759783
PCA15 / cnn_transformer / sharpe,Korean 6-factor,606,0.09863756564563476,5.420156997623489,8.642069315299448e-08,0.025859133741866436,0.016101462293537927
PCA1 / cnn_transformer / sharpe,CAPM,606,0.12537052328130818,3.4255445287461344,0.0006551978761711273,0.0002962039381319004,-0.0013589347970697219
PCA1 / cnn_transformer / sharpe,Korean FF3,606,0.12307596380720463,3.3236929739327303,0.0009422575220192504,0.0007678370261963163,-0.00421172524775959
PCA1 / cnn_transformer / sharpe,Korean FF5,606,0.12190685371297079,3.2855113289448745,0.001077317688331256,0.0025356810031836874,-0.005776521655123101
PCA1 / cnn_transformer / sharpe,Korean 6-factor,606,0.12105832528157852,3.2715458516450897,0.0011310745373221255,0.009730378266514017,-0.00018884999792811996
PCA3 / cnn_transformer / sharpe,CAPM,606,0.16132310218469273,5.561768792882755,4.014673745582043e-08,0.0002816134745511345,-0.0013735494170472595
PCA3 / cnn_transformer / sharpe,Korean FF3,606,0.16500497690024063,5.624888133344784,2.8449894423722295e-08,0.0016134241059707621,-0.003361924278883155
PCA3 / cnn_transformer / sharpe,Korean FF5,606,0.16741845718114873,5.70411066246922,1.8375680046402357e-08,0.006315395731302353,-0.001965309304270191
PCA3 / cnn_transformer / sharpe,Korean 6-factor,606,0.16703732656347195,5.6926605436479205,1.9598379256906022e-08,0.008626386006239661,-0.00130390061139396
PCA5 / cnn_transformer / sharpe,CAPM,606,0.1595738655146045,6.326572484691344,4.883568081008297e-10,0.0020394232155611647,0.00038717060499093847
PCA5 / cnn_transformer / sharpe,Korean FF3,606,0.16166238087201226,6.335788011240862,4.6274087611173934e-10,0.0028384837507060556,-0.0021307596857522704
PCA5 / cnn_transformer / sharpe,Korean FF5,606,0.16237184007789487,6.357732357995377,4.057413417025118e-10,0.0067670109960626945,-0.0015099305789700868
PCA5 / cnn_transformer / sharpe,Korean 6-factor,606,0.16226203912805628,6.3485620834459775,4.295251082703072e-10,0.0070202199466009585,-0.0029261551457535617
PCA8 / cnn_transformer / sharpe,CAPM,606,0.11911960173047656,5.0823272515084215,4.978476862719267e-07,0.0011000381353585276,-0.0005537697485233917
PCA8 / cnn_transformer / sharpe,Korean FF3,606,0.12692159884077214,5.376371855183155,1.0886802086379929e-07,0.010546778873640972,0.0056159488680279646
PCA8 / cnn_transformer / sharpe,Korean FF5,606,0.12730612285947238,5.383308833567057,1.0506107052229249e-07,0.012838660340139363,0.004612315842973835
PCA8 / cnn_transformer / sharpe,Korean 6-factor,606,0.1269273024980271,5.372005908161816,1.1160794854617396e-07,0.01633237505944929,0.0064792769799112415
