strategy,factor_model,model,objective,lookback_days,rolling_retrain,training_window_days,transaction_cost,short_holding_cost,annual_return,annual_volatility,sharpe,mean_t_statistic,mean_p_value,mean_daily_turnover,mean_short_proportion
PCA10 / ou_threshold / sharpe,PCA10,ou_threshold,sharpe,30,True,1000,0.0,0.0,0.07549491437586484,0.044157315332994274,1.7096808038838167,2.64906401032181,0.00828229160948101,0.930023394647998,0.5007708647070152
PCA15 / cnn_transformer / sharpe,PCA15,cnn_transformer,sharpe,30,True,1000,0.0,0.0,0.08397246688594971,0.029634290920127617,2.8336249756161904,4.390558708152856,1.3344357259102074e-05,1.0736386823182058,0.5005597595137732
PCA15 / fourier_ffn / sharpe,PCA15,fourier_ffn,sharpe,30,True,1000,0.0,0.0,0.05168611820358304,0.028442343705097118,1.81722430259221,2.8156972270750904,0.005025738265770341,0.9661307503091227,0.5160702312543447
PCA15 / ou_threshold / sharpe,PCA15,ou_threshold,sharpe,30,True,1000,0.0,0.0,0.04598675801079715,0.034339107346798174,1.3391949169314974,2.075014850251672,0.03840724047373178,0.9273265361195744,0.5012085796287744
PCA1 / cnn_transformer / sharpe,PCA1,cnn_transformer,sharpe,30,True,1000,0.0,0.0,0.10562930741095954,0.053343144943578384,1.9801852238499396,3.0681969396600803,0.0022498542175622286,1.310826578549426,0.5003515120976829
PCA1 / fourier_ffn / sharpe,PCA1,fourier_ffn,sharpe,30,True,1000,0.0,0.0,0.13412367472094092,0.05118125810745809,2.6205622855018587,4.060428836517133,5.5420994265459875e-05,0.8921976766177137,0.5708921752353706
PCA1 / ou_threshold / sharpe,PCA1,ou_threshold,sharpe,30,True,1000,0.0,0.0,0.11789116504864872,0.08206058497062488,1.4366356892392378,2.225994402968191,0.02638216388527948,0.9245457247932358,0.5013980679091053
PCA3 / cnn_transformer / sharpe,PCA3,cnn_transformer,sharpe,30,True,1000,0.0,0.0,0.16812081638628792,0.04303601070791671,3.906514884181892,6.052947405132108,2.495596042000693e-09,1.2058115558262312,0.4995075718994581
PCA3 / fourier_ffn / sharpe,PCA3,fourier_ffn,sharpe,30,True,1000,0.0,0.0,0.12871528075823882,0.043446294771720885,2.962629642747334,4.590444920880014,5.381557698426477e-06,0.958294942630793,0.5294386742532057
PCA3 / ou_threshold / sharpe,PCA3,ou_threshold,sharpe,30,True,1000,0.0,0.0,0.07280382552209416,0.06394214546819212,1.1385890321479792,1.764186168996329,0.07820524312527506,0.9192619955185617,0.500841019718167
PCA5 / cnn_transformer / sharpe,PCA5,cnn_transformer,sharpe,30,True,1000,0.0,0.0,0.1675362151129358,0.040359515416050075,4.15109580444344,6.43191318167029,2.561088290580004e-10,1.2143595258985023,0.5021812294674391
PCA / fourier_ffn / sharpe,PCA,fourier_ffn,sharpe,30,True,1000,0.0,0.0,0.12912976123607983,0.0395026290796793,3.2688903053925076,5.064980341379343,5.431059308970317e-07,0.9247429715131376,0.5260605562736492
PCA / ou_threshold / sharpe,PCA,ou_threshold,sharpe,30,True,1000,0.0,0.0,0.08870478768747588,0.060254617191209225,1.4721658160400255,2.281046539002195,0.02289242728581585,0.9246128591963954,0.501684039536089
PCA8 / cnn_transformer / sharpe,PCA8,cnn_transformer,sharpe,30,True,1000,0.0,0.0,0.1300640053384899,0.03674157817169546,3.5399678459834663,5.485001292164291,6.0824542651591e-08,1.2051075452035016,0.5025180981989348
PCA8 / fourier_ffn / sharpe,PCA8,fourier_ffn,sharpe,30,True,1000,0.0,0.0,0.1389845628467118,0.03539639636761842,3.9265173042829478,6.083940144296444,2.080633165098057e-09,0.8463195266306597,0.5141645329620185
PCA8 / ou_threshold / sharpe,PCA8,ou_threshold,sharpe,30,True,1000,0.0,0.0,0.08897010339158799,0.04908112238263575,1.8127153388624306,2.808710815627252,0.005134636506101573,0.9347163026679074,0.5031718719910474
