strategy,factor_model,model,objective,lookback_days,rolling_retrain,training_window_days,transaction_cost,short_holding_cost,annual_return,annual_volatility,sharpe,mean_t_statistic,mean_p_value,mean_daily_turnover,mean_short_proportion
Korean FF1 / cnn_transformer / sharpe,Korean FF1,cnn_transformer,sharpe,30,True,1000,0.0,0.0,0.12417143221948983,0.06754426943617964,1.8383710898940928,2.848463105388804,0.004542421484533196,1.1861504040928956,0.5030420801722177
Korean FF1 / fourier_ffn / sharpe,Korean FF1,fourier_ffn,sharpe,30,True,1000,0.0,0.0,0.11807351436357509,0.08112686708667816,1.45541814448994,2.255096868245386,0.024483859756910954,1.0530486099495746,0.482330197843388
Korean FF1 / ou_threshold / sharpe,Korean FF1,ou_threshold,sharpe,30,True,1000,0.0,0.0,0.026803694992201758,0.09687796161280882,0.27667484478387167,0.42869369078330866,0.6682987442708261,0.917056484535189,0.51092361838314
Korean FF3 / cnn_transformer / sharpe,Korean FF3,cnn_transformer,sharpe,30,True,1000,0.0,0.0,0.11252407350123113,0.03981579136740329,2.8261167149211364,4.378925037620791,1.4053648337029502e-05,1.2141214102604996,0.49726895412596145
Korean FF3 / fourier_ffn / sharpe,Korean FF3,fourier_ffn,sharpe,30,True,1000,0.0,0.0,0.08109150480768276,0.046058014358357276,1.7606383153373746,2.7280200992832877,0.0065566019909530995,1.0643706896124105,0.5110448982947731
Korean FF3 / ou_threshold / sharpe,Korean FF3,ou_threshold,sharpe,30,True,1000,0.0,0.0,0.045550052213451014,0.06221096829529228,0.7321868387780414,1.1344865070907209,0.2570398223264861,0.8921857737373597,0.5071043201995762
Korean FF5 / cnn_transformer / sharpe,Korean FF5,cnn_transformer,sharpe,30,True,1000,0.0,0.0,0.07342574168497917,0.03234729426344568,2.2699191186433954,3.5171249685202954,0.00046893721214164534,1.0970343361199886,0.5455254235185019
Korean FF5 / fourier_ffn / sharpe,Korean FF5,fourier_ffn,sharpe,30,True,1000,0.0,0.0,0.05945491329576526,0.040858762268690015,1.4551325100057042,2.2546542920460286,0.02451181527940241,1.0232686224353589,0.5285440125431952
Korean FF5 / ou_threshold / sharpe,Korean FF5,ou_threshold,sharpe,30,True,1000,0.0,0.0,0.02385721607122109,0.05047607514974382,0.47264403978410696,0.7323380555252892,0.46424586387819355,0.9051118750776789,0.5042122325832301
Stock returns K0 / cnn_transformer / sharpe,Stock returns K0,cnn_transformer,sharpe,30,True,1000,0.0,0.0,-0.00831208977183322,0.10165560251568569,-0.08176715858381388,-0.12669408028598134,0.8992246253354531,0.9832335494630801,0.4693359512552963
Stock returns K0 / fourier_ffn / sharpe,Stock returns K0,fourier_ffn,sharpe,30,True,1000,0.0,0.0,-0.17100676760310216,0.16984542120022744,-1.0068376668306274,-1.5600440862285347,0.11927237984545855,0.8742663275093923,0.5582922883512353
Stock returns K0 / ou_threshold / sharpe,Stock returns K0,ou_threshold,sharpe,30,True,1000,0.0,0.0,0.05996351167334862,0.1703655028956615,0.3519697981936673,0.5453594162120781,0.5857073430451737,0.9969572947166934,0.5107417450510826
PCA10 / cnn_transformer / sharpe,PCA10,cnn_transformer,sharpe,30,True,1000,0.0,0.0,0.11677885964906767,0.03420232009788612,3.4143549126155692,5.290370399508811,1.7087246132772274e-07,1.1575424575766322,0.5020686098844698
PCA10 / fourier_ffn / sharpe,PCA10,fourier_ffn,sharpe,30,True,1000,0.0,0.0,0.11566023809298073,0.03273116334547355,3.533642751166545,5.475200877371475,6.412034846593821e-08,0.8921266052589165,0.5095013330380121
