strategy,factor_model,model,objective,lookback_days,rolling_retrain,training_window_days,transaction_cost,short_holding_cost,annual_return,annual_volatility,sharpe,mean_t_statistic,mean_p_value,mean_daily_turnover,mean_short_proportion
Stock returns K0 / cnn_transformer_frictions / meanvar,Stock returns K0,cnn_transformer_frictions,meanvar,30,True,1000,0.0005,0.0001,-0.06864815883584557,0.14289937727046087,-0.48039508741817327,-0.7443479121506025,0.4569550322589276,0.4299112655492899,0.35122837950460145
Stock returns K0 / cnn_transformer_frictions / sharpe,Stock returns K0,cnn_transformer_frictions,sharpe,30,True,1000,0.0005,0.0001,-0.12205571767142558,0.11876996244295551,-1.0276648671169546,-1.592314780611335,0.11183630642034151,0.4855737000605454,0.33878331855800087
PCA10 / cnn_transformer_frictions / meanvar,PCA10,cnn_transformer_frictions,meanvar,30,True,1000,0.0005,0.0001,-0.00012999694034443956,0.03656714141317177,-0.0035550205818826635,-0.00550832474578023,0.9956068307248804,0.3683974446341543,0.5023102769167116
PCA10 / cnn_transformer_frictions / sharpe,PCA10,cnn_transformer_frictions,sharpe,30,True,1000,0.0005,0.0001,0.008956586215417542,0.03603283806355384,0.2485673262711123,0.38514251120495696,0.7002671972573155,0.36939757545985796,0.503509979289357
PCA15 / cnn_transformer_frictions / meanvar,PCA15,cnn_transformer_frictions,meanvar,30,True,1000,0.0005,0.0001,-0.027076138160061478,0.028925026483846136,-0.9360799781871517,-1.4504086232735889,0.1474628349063818,0.42988943286461406,0.5027174869976422
PCA15 / cnn_transformer_frictions / sharpe,PCA15,cnn_transformer_frictions,sharpe,30,True,1000,0.0005,0.0001,-0.01821564988141937,0.028265610616313896,-0.6444456526584269,-0.9985359730235362,0.3184187305647759,0.4137837518461467,0.5054482916990916
PCA1 / cnn_transformer_frictions / meanvar,PCA1,cnn_transformer_frictions,meanvar,30,True,1000,0.0005,0.0001,0.06050805397499392,0.07894289611685379,0.7664787707487697,1.1876201228052443,0.23544915592674914,0.6465414311036025,0.5091347363423986
PCA1 / cnn_transformer_frictions / sharpe,PCA1,cnn_transformer_frictions,sharpe,30,True,1000,0.0005,0.0001,0.059792250159468714,0.0772406580887732,0.7741033238058262,1.1994339824756313,0.23082876553120452,0.5665402808795275,0.5159066511754549
PCA3 / cnn_transformer_frictions / meanvar,PCA3,cnn_transformer_frictions,meanvar,30,True,1000,0.0005,0.0001,0.07697065257345403,0.052596119614392166,1.4634283505658492,2.2675082777802813,0.02371108746702028,0.5514196525312492,0.4926103928891739
PCA3 / cnn_transformer_frictions / sharpe,PCA3,cnn_transformer_frictions,sharpe,30,True,1000,0.0005,0.0001,0.07254177359868397,0.05109457100458839,1.4197550184376648,2.199838656592053,0.028195738577243536,0.5303750102325241,0.4928610950413317
PCA5 / cnn_transformer_frictions / meanvar,PCA5,cnn_transformer_frictions,meanvar,30,True,1000,0.0005,0.0001,0.043838952991250985,0.042761449806314064,1.0251980040390918,1.5884925009301727,0.1126974464322543,0.4991553561030441,0.5028327767900115
PCA5 / cnn_transformer_frictions / sharpe,PCA5,cnn_transformer_frictions,sharpe,30,True,1000,0.0005,0.0001,0.060172521613974184,0.043847456373074516,1.3723149890839377,2.1263327283953477,0.03387976404516499,0.4635456630548235,0.5027637104980229
