residual_model,model,annual_return,annual_volatility,sharpe,mean_t_statistic,mean_p_value
PCA5,Network 1,0.16318132240777042,0.04089822877011621,3.989936173641946,6.182204477622631,1.162947969819153e-09
PCA5,Network 2,0.17079659140614636,0.04063567188673815,4.203119660041538,6.512521516998168,1.5548622688173938e-10
PCA5,Network 3,0.16024580845115982,0.04126616752943723,3.883224879966099,6.016860720513467,3.081115935003684e-09
PCA5,Network 4,0.17325605420782259,0.04239587117260433,4.086625641031253,4.850413474899488,1.8470927030598534e-06
PCA5,Network 5,0.1578485359553771,0.039590205778071354,3.9870602552616163,7.344049341651784,4.83265971306755e-13
Korean FF5,Network 1,0.07417529868307791,0.032273860623397925,2.2983088248606447,3.561113383686963,0.00039831162111178905
Korean FF5,Network 2,0.09255145103491999,0.03460791322626314,2.674285803649232,4.143670713076067,3.9051873432265075e-05
Korean FF5,Network 3,0.08720063701379206,0.034589809194821006,2.520992137385027,3.906149923588169,0.00010434819926568376
Korean FF5,Network 4,0.07676174967818543,0.03715648602207321,2.0659044462004372,2.452020724163203,0.014686598868372291
Korean FF5,Network 5,0.08498289295951329,0.033642469268266806,2.5260599120075065,4.652929087106162,3.791012698174275e-06
