strategy,factor_model,model,objective,lookback_days,rolling_retrain,training_window_days,transaction_cost,short_holding_cost,annual_return,annual_volatility,sharpe,mean_t_statistic,mean_p_value,mean_daily_turnover,mean_short_proportion
Korean FF1 / cnn_transformer / sharpe,Korean FF1,cnn_transformer,sharpe,30,False,1000,0.0,0.0,0.10213431202988522,0.0699613426650272,1.4598678089827584,2.261991398522122,0.024051926769770863,1.1027653776969846,0.5032954300590867
Korean FF3 / cnn_transformer / sharpe,Korean FF3,cnn_transformer,sharpe,30,False,1000,0.0,0.0,0.10264414986324431,0.04026723175406227,2.549073909280821,3.949661210084587,8.747767352064074e-05,1.161999657700951,0.5017843022204862
Korean FF5 / cnn_transformer / sharpe,Korean FF5,cnn_transformer,sharpe,30,False,1000,0.0,0.0,0.08122678987029354,0.035592958871604005,2.282102765417913,3.5360029135212154,0.00043730237198023566,1.100384000110941,0.5394173929400177
Stock returns K0 / cnn_transformer / sharpe,Stock returns K0,cnn_transformer,sharpe,30,False,1000,0.0,0.0,0.01957319471823658,0.08984113065243429,0.2178645190247974,0.3375700628816805,0.735804293578909,0.8433719177057247,0.40949589275930187
PCA10 / cnn_transformer / sharpe,PCA10,cnn_transformer,sharpe,30,False,1000,0.0,0.0,0.11531818968313946,0.03475731425528704,3.317810715642336,5.140780044966473,3.698855033265769e-07,1.1526857822051537,0.5000844674535317
PCA15 / cnn_transformer / sharpe,PCA15,cnn_transformer,sharpe,30,False,1000,0.0,0.0,0.08735242497093848,0.028005966975499164,3.1190647709953443,4.832833246964327,1.708434369447559e-06,1.0436537718222085,0.4992507823032908
PCA1 / cnn_transformer / sharpe,PCA1,cnn_transformer,sharpe,30,False,1000,0.0,0.0,0.1266346543431977,0.05648015716626951,2.242108745738851,3.474034201046214,0.0005493392712097618,1.316992450665326,0.49701116570938536
PCA3 / cnn_transformer / sharpe,PCA3,cnn_transformer,sharpe,30,False,1000,0.0,0.0,0.16229997505260713,0.04476210894322003,3.6258339672619506,5.618046508012793,2.948074919664166e-08,1.24462625925297,0.4981516895219438
PCA5 / cnn_transformer / sharpe,PCA5,cnn_transformer,sharpe,30,False,1000,0.0,0.0,0.16186186963390015,0.03895850927808296,4.154724414082224,6.437535528941066,2.47388899795367e-10,1.1791192139729414,0.49833882199262236
PCA8 / cnn_transformer / sharpe,PCA8,cnn_transformer,sharpe,30,False,1000,0.0,0.0,0.12068033977618915,0.03618473150433331,3.335117734996515,5.167596396880204,3.2251168220509003e-07,1.227433294057846,0.4999659715509257
